id,geographic_area_name,estimate_total,estimate_total_car_truck_or_van,estimate_total_public_transportation,estimate_total_public_transportation_bus,estimate_total_public_transportation_subway_or_elevated_rail,estimate_total_public_transportation_long_distance_train_or_commuter_rail,estimate_total_public_transportation_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico,estimate_total_public_transportation_ferryboat,estimate_total_taxicab,estimate_total_motorcycle,estimate_total_bicycle,estimate_total_walked,estimate_total_other_means,estimate_total_worked_from_home
1500000US530330114011,"Block Group 1, Census Tract 114.01, King County, Washington",830,597,180,180,0,0,0,0,0,0,0,0,8,45
1500000US530330114012,"Block Group 2, Census Tract 114.01, King County, Washington",912,554,300,300,0,0,0,0,0,0,0,11,0,47
1500000US530330114013,"Block Group 3, Census Tract 114.01, King County, Washington",872,611,162,162,0,0,0,0,0,0,0,7,7,85
1500000US530330114021,"Block Group 1, Census Tract 114.02, King County, Washington",921,628,170,170,0,0,0,0,0,0,9,32,24,58
1500000US530330114022,"Block Group 2, Census Tract 114.02, King County, Washington",844,541,204,204,0,0,0,0,0,0,0,32,0,67
1500000US530330114023,"Block Group 3, Census Tract 114.02, King County, Washington",683,524,117,117,0,0,0,0,11,0,0,7,0,24
1500000US530330115001,"Block Group 1, Census Tract 115, King County, Washington",1042,707,220,212,0,0,8,0,0,8,48,0,0,59
1500000US530330115002,"Block Group 2, Census Tract 115, King County, Washington",857,674,142,142,0,0,0,0,0,0,19,0,7,15
1500000US530330115003,"Block Group 3, Census Tract 115, King County, Washington",962,616,279,270,0,9,0,0,0,0,10,0,16,41
1500000US530330116001,"Block Group 1, Census Tract 116, King County, Washington",1069,739,263,234,0,0,13,16,0,0,0,17,0,50
1500000US530330116002,"Block Group 2, Census Tract 116, King County, Washington",573,325,48,48,0,0,0,0,0,0,29,14,16,141
1500000US530330116003,"Block Group 3, Census Tract 116, King County, Washington",603,341,77,77,0,0,0,0,0,13,0,0,0,172
1500000US530330116004,"Block Group 4, Census Tract 116, King County, Washington",364,297,9,6,3,0,0,0,0,0,0,0,0,58
1500000US530330116005,"Block Group 5, Census Tract 116, King County, Washington",726,447,118,100,18,0,0,0,0,13,0,73,27,48
1500000US530330116006,"Block Group 6, Census Tract 116, King County, Washington",595,401,78,65,0,0,0,13,0,0,19,17,0,80
1500000US530330117001,"Block Group 1, Census Tract 117, King County, Washington",830,633,153,67,0,61,25,0,0,0,0,0,0,44
1500000US530330117002,"Block Group 2, Census Tract 117, King County, Washington",732,526,173,105,26,0,42,0,10,0,0,14,0,9
1500000US530330117003,"Block Group 3, Census Tract 117, King County, Washington",714,485,196,119,37,31,9,0,0,0,0,0,25,8
1500000US530330117004,"Block Group 4, Census Tract 117, King County, Washington",356,303,42,14,18,10,0,0,0,0,11,0,0,0
1500000US530330118001,"Block Group 1, Census Tract 118, King County, Washington",411,305,90,58,0,0,32,0,0,0,0,0,0,16
1500000US530330118002,"Block Group 2, Census Tract 118, King County, Washington",580,436,124,44,39,15,26,0,0,0,0,0,0,20
1500000US530330118003,"Block Group 3, Census Tract 118, King County, Washington",759,556,169,133,16,0,0,20,0,0,0,0,0,34
1500000US530330118004,"Block Group 4, Census Tract 118, King County, Washington",655,480,175,175,0,0,0,0,0,0,0,0,0,0
1500000US530330118005,"Block Group 5, Census Tract 118, King County, Washington",972,588,384,360,24,0,0,0,0,0,0,0,0,0
1500000US530330118006,"Block Group 6, Census Tract 118, King County, Washington",955,717,204,108,34,0,62,0,0,0,0,34,0,0
1500000US530330119001,"Block Group 1, Census Tract 119, King County, Washington",1217,1048,129,84,45,0,0,0,0,0,0,0,0,40
1500000US530330119002,"Block Group 2, Census Tract 119, King County, Washington",643,480,126,25,42,19,40,0,0,5,0,0,0,32
1500000US530330119003,"Block Group 3, Census Tract 119, King County, Washington",757,662,77,77,0,0,0,0,0,0,18,0,0,0
1500000US530330119004,"Block Group 4, Census Tract 119, King County, Washington",1114,751,251,251,0,0,0,0,0,0,0,0,92,20
1500000US530330119005,"Block Group 5, Census Tract 119, King County, Washington",524,454,70,70,0,0,0,0,0,0,0,0,0,0
1500000US530330120001,"Block Group 1, Census Tract 120, King County, Washington",744,490,109,109,0,0,0,0,0,0,39,38,18,50
1500000US530330120002,"Block Group 2, Census Tract 120, King County, Washington",729,562,104,91,0,0,0,13,0,0,14,12,0,37
1500000US530330120003,"Block Group 3, Census Tract 120, King County, Washington",833,626,124,85,0,0,13,26,0,0,22,0,0,61
1500000US530330121001,"Block Group 1, Census Tract 121, King County, Washington",548,425,72,61,0,0,11,0,0,0,0,0,0,51
1500000US530330121002,"Block Group 2, Census Tract 121, King County, Washington",735,657,27,15,0,12,0,0,0,0,11,0,0,40
1500000US530330201001,"Block Group 1, Census Tract 201, King County, Washington",587,477,24,24,0,0,0,0,0,0,0,50,11,25
1500000US530330201002,"Block Group 2, Census Tract 201, King County, Washington",636,534,7,0,0,0,0,7,0,0,0,0,17,78
1500000US530330201003,"Block Group 3, Census Tract 201, King County, Washington",445,318,83,62,0,21,0,0,0,0,0,0,0,44
1500000US530330202001,"Block Group 1, Census Tract 202, King County, Washington",467,398,30,30,0,0,0,0,0,0,20,0,0,19
1500000US530330202002,"Block Group 2, Census Tract 202, King County, Washington",341,251,43,43,0,0,0,0,0,0,0,0,0,47
1500000US530330202003,"Block Group 3, Census Tract 202, King County, Washington",520,478,42,42,0,0,0,0,0,0,0,0,0,0
1500000US530330202004,"Block Group 4, Census Tract 202, King County, Washington",358,266,49,49,0,0,0,0,0,0,0,0,0,43
1500000US530330202005,"Block Group 5, Census Tract 202, King County, Washington",591,475,68,68,0,0,0,0,0,0,0,9,0,39
1500000US530330203001,"Block Group 1, Census Tract 203, King County, Washington",1118,810,217,217,0,0,0,0,0,0,0,59,0,32
1500000US530330203002,"Block Group 2, Census Tract 203, King County, Washington",505,365,122,122,0,0,0,0,0,0,0,0,0,18
1500000US530330203003,"Block Group 3, Census Tract 203, King County, Washington",665,488,68,68,0,0,0,0,0,0,0,61,29,19
1500000US530330203004,"Block Group 4, Census Tract 203, King County, Washington",811,582,152,152,0,0,0,0,0,0,17,0,0,60
1500000US530330203005,"Block Group 5, Census Tract 203, King County, Washington",849,710,51,51,0,0,0,0,0,18,0,20,0,50
1500000US530330204011,"Block Group 1, Census Tract 204.01, King County, Washington",1034,863,85,85,0,0,0,0,0,32,0,11,0,43
1500000US530330204012,"Block Group 2, Census Tract 204.01, King County, Washington",592,411,123,123,0,0,0,0,0,0,12,0,0,46
1500000US530330204013,"Block Group 3, Census Tract 204.01, King County, Washington",454,392,31,31,0,0,0,0,0,0,0,9,0,22
1500000US530330204021,"Block Group 1, Census Tract 204.02, King County, Washington",734,497,206,206,0,0,0,0,0,0,0,0,0,31
1500000US530330204022,"Block Group 2, Census Tract 204.02, King County, Washington",614,484,0,0,0,0,0,0,0,0,15,44,0,71
1500000US530330204023,"Block Group 3, Census Tract 204.02, King County, Washington",514,452,28,14,0,0,0,14,0,0,0,18,0,16
1500000US530330204024,"Block Group 4, Census Tract 204.02, King County, Washington",436,332,57,57,0,0,0,0,0,0,47,0,0,0
1500000US530330204025,"Block Group 5, Census Tract 204.02, King County, Washington",779,644,89,89,0,0,0,0,0,0,0,19,0,27
1500000US530330205001,"Block Group 1, Census Tract 205, King County, Washington",1015,948,17,17,0,0,0,0,0,0,0,0,0,50
1500000US530330205002,"Block Group 2, Census Tract 205, King County, Washington",468,373,37,37,0,0,0,0,0,0,0,12,13,33
1500000US530330205003,"Block Group 3, Census Tract 205, King County, Washington",590,445,102,102,0,0,0,0,0,0,0,0,17,26
1500000US530330205004,"Block Group 4, Census Tract 205, King County, Washington",496,460,36,36,0,0,0,0,0,0,0,0,0,0
1500000US530330205005,"Block Group 5, Census Tract 205, King County, Washington",787,671,31,31,0,0,0,0,0,0,16,28,0,41
1500000US530330205006,"Block Group 6, Census Tract 205, King County, Washington",495,381,0,0,0,0,0,0,0,0,0,14,0,100
1500000US530330206001,"Block Group 1, Census Tract 206, King County, Washington",552,373,61,61,0,0,0,0,0,0,5,6,0,107
1500000US530330206002,"Block Group 2, Census Tract 206, King County, Washington",442,367,33,33,0,0,0,0,0,9,4,0,0,29
1500000US530330206003,"Block Group 3, Census Tract 206, King County, Washington",604,404,184,184,0,0,0,0,0,0,0,0,0,16
1500000US530330206004,"Block Group 4, Census Tract 206, King County, Washington",341,230,74,74,0,0,0,0,0,0,0,0,0,37
1500000US530330207001,"Block Group 1, Census Tract 207, King County, Washington",741,468,243,243,0,0,0,0,0,0,0,12,0,18
1500000US530330207002,"Block Group 2, Census Tract 207, King County, Washington",734,502,142,142,0,0,0,0,0,0,0,52,14,24
1500000US530330207003,"Block Group 3, Census Tract 207, King County, Washington",780,421,316,316,0,0,0,0,0,0,0,25,0,18
1500000US530330208001,"Block Group 1, Census Tract 208, King County, Washington",704,540,125,125,0,0,0,0,0,0,0,0,0,39
1500000US530330208002,"Block Group 2, Census Tract 208, King County, Washington",704,493,116,116,0,0,0,0,0,0,31,9,0,55
1500000US530330208003,"Block Group 3, Census Tract 208, King County, Washington",400,293,30,30,0,0,0,0,0,0,9,0,4,64
1500000US530330208004,"Block Group 4, Census Tract 208, King County, Washington",355,251,25,25,0,0,0,0,0,0,0,0,0,79
1500000US530330209001,"Block Group 1, Census Tract 209, King County, Washington",1081,711,266,221,45,0,0,0,0,0,0,41,8,55
1500000US530330209002,"Block Group 2, Census Tract 209, King County, Washington",432,284,83,83,0,0,0,0,0,0,13,8,0,44
1500000US530330209003,"Block Group 3, Census Tract 209, King County, Washington",303,213,37,37,0,0,0,0,0,0,9,27,0,17
1500000US530330210001,"Block Group 1, Census Tract 210, King County, Washington",611,500,90,90,0,0,0,0,0,0,0,0,0,21
1500000US530330210002,"Block Group 2, Census Tract 210, King County, Washington",565,495,39,39,0,0,0,0,0,0,0,0,0,31
1500000US530330210003,"Block Group 3, Census Tract 210, King County, Washington",683,487,106,106,0,0,0,0,0,0,0,16,0,74
1500000US530330210004,"Block Group 4, Census Tract 210, King County, Washington",750,509,168,168,0,0,0,0,0,0,0,49,0,24
1500000US530330210005,"Block Group 5, Census Tract 210, King County, Washington",585,517,50,50,0,0,0,0,0,0,0,0,0,18
1500000US530330211001,"Block Group 1, Census Tract 211, King County, Washington",955,761,122,112,10,0,0,0,0,0,26,0,12,34
1500000US530330211002,"Block Group 2, Census Tract 211, King County, Washington",801,586,151,151,0,0,0,0,0,0,0,0,0,64
