id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330027002,"Block Group 2, Census Tract 27, King County, Washington",1701,1371,19,0,99,0,34,178,15,163
1500000US530330027003,"Block Group 3, Census Tract 27, King County, Washington",1411,1019,14,0,319,0,16,43,0,43
1500000US530330027004,"Block Group 4, Census Tract 27, King County, Washington",1522,1095,1,0,224,0,169,33,0,33
1500000US530330028001,"Block Group 1, Census Tract 28, King County, Washington",1366,1085,3,0,158,0,0,120,0,120
1500000US530330028002,"Block Group 2, Census Tract 28, King County, Washington",1146,891,66,0,30,0,0,159,0,159
1500000US530330028003,"Block Group 3, Census Tract 28, King County, Washington",1237,1041,0,0,160,0,16,20,0,20
1500000US530330028004,"Block Group 4, Census Tract 28, King County, Washington",1395,994,113,0,31,0,17,240,0,240
1500000US530330029001,"Block Group 1, Census Tract 29, King County, Washington",1859,1513,1,1,81,0,22,241,22,219
1500000US530330029002,"Block Group 2, Census Tract 29, King County, Washington",1539,1307,0,0,169,13,41,9,0,9
1500000US530330029003,"Block Group 3, Census Tract 29, King County, Washington",1458,1354,0,0,48,0,19,37,0,37
1500000US530330030001,"Block Group 1, Census Tract 30, King County, Washington",1725,1451,2,0,167,0,0,105,0,105
1500000US530330030002,"Block Group 2, Census Tract 30, King County, Washington",1362,1128,0,0,75,0,159,0,0,0
1500000US530330030003,"Block Group 3, Census Tract 30, King County, Washington",1445,1221,0,0,88,17,36,83,0,83
1500000US530330030004,"Block Group 4, Census Tract 30, King County, Washington",1796,1525,0,0,52,0,21,198,20,178
1500000US530330031001,"Block Group 1, Census Tract 31, King County, Washington",939,857,0,0,37,0,0,45,0,45
1500000US530330031002,"Block Group 2, Census Tract 31, King County, Washington",1269,1242,0,14,13,0,0,0,0,0
1500000US530330031003,"Block Group 3, Census Tract 31, King County, Washington",1304,1178,0,0,84,0,0,42,0,42
1500000US530330031004,"Block Group 4, Census Tract 31, King County, Washington",1437,1326,0,0,27,0,0,84,0,84
1500000US530330031005,"Block Group 5, Census Tract 31, King County, Washington",1602,1342,0,83,126,0,0,51,0,51
1500000US530330032001,"Block Group 1, Census Tract 32, King County, Washington",1152,1100,33,0,0,0,0,19,0,19
1500000US530330032002,"Block Group 2, Census Tract 32, King County, Washington",1435,1158,0,0,112,0,42,123,0,123
1500000US530330032003,"Block Group 3, Census Tract 32, King County, Washington",1475,1244,21,25,104,0,0,81,0,81
1500000US530330032004,"Block Group 4, Census Tract 32, King County, Washington",1118,1002,0,0,56,0,22,38,0,38
1500000US530330032005,"Block Group 5, Census Tract 32, King County, Washington",848,783,0,0,37,0,0,28,0,28
1500000US530330032006,"Block Group 6, Census Tract 32, King County, Washington",2036,1799,0,0,52,0,0,185,0,185
1500000US530330032007,"Block Group 7, Census Tract 32, King County, Washington",1076,865,0,0,62,0,73,76,0,76
1500000US530330033001,"Block Group 1, Census Tract 33, King County, Washington",1659,1520,18,0,12,0,37,72,0,72
1500000US530330033002,"Block Group 2, Census Tract 33, King County, Washington",948,854,16,0,59,0,0,19,0,19
1500000US530330033003,"Block Group 3, Census Tract 33, King County, Washington",2626,2135,0,56,291,0,43,101,0,101
1500000US530330033004,"Block Group 4, Census Tract 33, King County, Washington",1683,1243,98,0,125,0,0,217,0,217
1500000US530330033005,"Block Group 5, Census Tract 33, King County, Washington",1289,903,0,0,135,0,12,239,0,239
1500000US530330034001,"Block Group 1, Census Tract 34, King County, Washington",1421,1246,0,0,98,0,24,53,10,43
1500000US530330034002,"Block Group 2, Census Tract 34, King County, Washington",1096,1039,11,0,36,0,0,10,0,10
1500000US530330034003,"Block Group 3, Census Tract 34, King County, Washington",1087,849,43,0,89,0,0,106,23,83
1500000US530330035001,"Block Group 1, Census Tract 35, King County, Washington",1412,1118,8,0,214,0,0,72,0,72
1500000US530330035002,"Block Group 2, Census Tract 35, King County, Washington",1476,1254,10,0,66,0,0,146,0,146
1500000US530330035003,"Block Group 3, Census Tract 35, King County, Washington",1381,1253,18,2,59,14,8,27,0,27
1500000US530330036001,"Block Group 1, Census Tract 36, King County, Washington",1676,1080,0,0,376,0,40,180,0,180
1500000US530330036002,"Block Group 2, Census Tract 36, King County, Washington",2045,1624,44,0,200,0,44,133,0,133
1500000US530330036003,"Block Group 3, Census Tract 36, King County, Washington",1438,1193,0,0,57,0,83,105,0,105
1500000US530330036004,"Block Group 4, Census Tract 36, King County, Washington",2435,1952,65,0,359,0,16,43,22,21
1500000US530330038001,"Block Group 1, Census Tract 38, King County, Washington",1315,1050,30,0,174,0,8,53,0,53
1500000US530330038002,"Block Group 2, Census Tract 38, King County, Washington",1156,776,13,1,202,0,34,130,0,130
